epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1814,1.30734,4.43202,1.37425,0.30301,0.34428,0.13769,0.10427,0.95099,2.99969,1.15006,5.004e-05,5.004e-05,5.004e-05
2,55.6846,1.08704,2.70521,1.23277,0.60522,0.41075,0.44217,0.36698,0.84759,2.90967,1.05262,0.00010253,0.00010253,0.00010253
3,73.0551,1.01344,1.7798,1.17493,0.49581,0.71788,0.65256,0.54161,0.81586,2.1458,1.00266,0.000153231,0.000153231,0.000153231
4,94.0105,1.01607,1.41725,1.1702,0.74667,0.6252,0.67216,0.54276,0.97838,1.40868,1.10791,0.000202143,0.000202143,0.000202143
5,113.886,0.95284,1.24836,1.11695,0.9245,0.66006,0.87371,0.69634,0.87078,1.05374,1.07477,0.000249266,0.000249266,0.000249266
6,134.003,0.94378,1.07066,1.12054,0.7876,0.76986,0.8822,0.6938,0.90467,0.91953,1.09488,0.0002946,0.0002946,0.0002946
7,157.098,0.90839,0.98912,1.10145,0.79733,0.81636,0.87374,0.6861,0.91015,0.89556,1.09492,0.000338145,0.000338145,0.000338145
8,176.199,0.89153,0.90176,1.06764,0.82174,0.70128,0.78813,0.64097,0.87221,1.03866,1.05954,0.000368836,0.000368836,0.000368836
9,200.622,0.91297,0.88953,1.10198,0.63102,0.8141,0.82886,0.6662,0.88577,1.03848,1.06036,0.000361956,0.000361956,0.000361956
10,220.197,0.88819,0.82219,1.07046,0.89211,0.66131,0.87264,0.70032,0.83235,0.89954,1.00469,0.000355076,0.000355076,0.000355076
11,238.625,0.91193,0.82269,1.11674,0.81576,0.84103,0.93546,0.72191,0.87109,0.72308,1.03021,0.000348195,0.000348195,0.000348195
12,260.716,0.86578,0.74679,1.07069,0.85195,0.77279,0.88473,0.6707,0.88703,0.87569,1.05209,0.000341315,0.000341315,0.000341315
13,279.192,0.87186,0.7645,1.08658,0.96258,0.77889,0.93431,0.72898,0.84272,0.66276,1.03788,0.000334434,0.000334434,0.000334434
14,300.728,0.84477,0.73329,1.07267,0.91832,0.83769,0.96633,0.77373,0.8333,0.60294,1.01979,0.000327553,0.000327553,0.000327553
15,323.419,0.8533,0.7077,1.06127,0.89772,0.81474,0.96275,0.77353,0.83946,0.67864,1.03443,0.000320673,0.000320673,0.000320673
16,343.046,0.83345,0.69296,1.06356,0.85939,0.8054,0.92508,0.72462,0.83822,0.71692,1.02989,0.000313792,0.000313792,0.000313792
17,362.957,0.81989,0.65495,1.06493,0.828,0.84232,0.93554,0.75174,0.8766,0.67515,1.04665,0.000306912,0.000306912,0.000306912
18,382.595,0.83798,0.65809,1.08379,0.9029,0.87999,0.93471,0.75636,0.90304,0.57659,1.07214,0.000300032,0.000300032,0.000300032
19,400.065,0.83203,0.66078,1.08877,0.95766,0.86315,0.93758,0.77322,0.85808,0.57285,1.07864,0.000293151,0.000293151,0.000293151
20,420.71,0.81564,0.62849,1.05828,0.90233,0.74884,0.94371,0.77539,0.80596,0.69071,1.02845,0.00028627,0.00028627,0.00028627
21,437.674,0.78211,0.60083,1.02956,0.9329,0.78013,0.9772,0.77923,0.83773,0.64917,1.0624,0.00027939,0.00027939,0.00027939
22,457.728,0.76924,0.62093,1.04018,0.92775,0.81872,0.9723,0.75561,0.88002,0.59084,1.10874,0.000272509,0.000272509,0.000272509
23,476.33,0.76531,0.56625,1.01518,0.78639,0.92668,0.94899,0.7556,0.84973,0.58082,1.09495,0.000265629,0.000265629,0.000265629
24,496.171,0.77312,0.54584,1.04068,0.95454,0.84184,0.972,0.78904,0.8681,0.58768,1.11635,0.000258749,0.000258749,0.000258749
25,513.675,0.7446,0.57429,1.01745,0.95171,0.89802,0.97385,0.79832,0.84138,0.58158,1.08339,0.000251868,0.000251868,0.000251868
26,536.43,0.75874,0.58452,1.0346,0.92689,0.90549,0.97059,0.76686,0.84018,0.55009,1.05742,0.000244987,0.000244987,0.000244987
27,554.344,0.76028,0.55275,1.05099,0.90363,0.91901,0.94551,0.7434,0.89295,0.52635,1.08865,0.000238107,0.000238107,0.000238107
28,576.269,0.7429,0.53241,1.01712,0.78012,0.92931,0.94473,0.75792,0.8691,0.54637,1.07443,0.000231226,0.000231226,0.000231226
29,593.263,0.75512,0.56027,1.04151,0.88217,0.84966,0.9448,0.75859,0.83268,0.55666,1.04037,0.000224346,0.000224346,0.000224346
30,614.416,0.71641,0.51659,1.01196,0.84521,0.85256,0.94241,0.75372,0.84675,0.54516,1.06394,0.000217465,0.000217465,0.000217465
31,633.926,0.73956,0.53703,1.03612,0.95661,0.82494,0.94493,0.76603,0.86634,0.52516,1.06577,0.000210585,0.000210585,0.000210585
32,657.573,0.71313,0.50336,1.00279,0.81814,0.92576,0.94077,0.77356,0.80973,0.48839,1.04118,0.000203704,0.000203704,0.000203704
33,677.226,0.68628,0.49338,1.0053,0.95035,0.91746,0.95559,0.77688,0.8445,0.48453,1.0418,0.000196824,0.000196824,0.000196824
34,697.768,0.67893,0.49124,0.98573,0.93799,0.92041,0.96689,0.78516,0.86329,0.4801,1.03658,0.000189943,0.000189943,0.000189943
35,719.604,0.68856,0.48804,1.01509,0.89105,0.92244,0.96988,0.78083,0.8526,0.50115,1.05333,0.000183063,0.000183063,0.000183063
36,738.375,0.67375,0.47669,0.99029,0.95181,0.91221,0.94752,0.76737,0.88504,0.53074,1.08022,0.000176182,0.000176182,0.000176182
37,760.464,0.69206,0.47244,0.99907,0.93907,0.93134,0.9693,0.78889,0.83277,0.51928,1.0361,0.000169302,0.000169302,0.000169302
38,778.379,0.67491,0.45415,1.00064,0.90307,0.9163,0.94793,0.76273,0.84942,0.52849,1.05385,0.000162421,0.000162421,0.000162421
39,801.001,0.68259,0.46555,0.992,0.9292,0.90745,0.96029,0.76424,0.842,0.52328,1.05315,0.000155541,0.000155541,0.000155541
40,820.894,0.65879,0.44196,1.00195,0.92466,0.90289,0.96029,0.76796,0.82005,0.50896,1.03354,0.00014866,0.00014866,0.00014866
41,839.823,0.65657,0.45384,0.98057,0.91909,0.9068,0.96078,0.80168,0.82196,0.49613,1.04196,0.00014178,0.00014178,0.00014178
42,858.847,0.64651,0.43087,0.96839,0.90773,0.91946,0.95762,0.79082,0.81655,0.50282,1.0336,0.000134899,0.000134899,0.000134899
43,879.09,0.64336,0.43446,0.9881,0.89487,0.92198,0.95392,0.78334,0.81983,0.51658,1.03227,0.000128019,0.000128019,0.000128019
44,897.22,0.63169,0.43516,0.97913,0.87569,0.91603,0.95197,0.79542,0.81739,0.53565,1.02386,0.000121138,0.000121138,0.000121138
45,919.733,0.63683,0.4195,0.96325,0.84419,0.91683,0.9508,0.80546,0.80565,0.54218,1.03354,0.000114258,0.000114258,0.000114258
46,939.231,0.62453,0.42172,0.97986,0.82543,0.91566,0.95147,0.79423,0.80887,0.55234,1.04634,0.000107378,0.000107378,0.000107378
47,957.798,0.62003,0.42918,0.97208,0.90143,0.89695,0.9476,0.78731,0.83092,0.53347,1.05494,0.000100497,0.000100497,0.000100497
48,977.623,0.62177,0.43238,0.96748,0.91082,0.88303,0.94726,0.76461,0.85703,0.53106,1.06845,9.36165e-05,9.36165e-05,9.36165e-05
49,999.713,0.62394,0.41927,0.96579,0.8678,0.90479,0.95262,0.78232,0.82709,0.50628,1.04278,8.6736e-05,8.6736e-05,8.6736e-05
50,1020.09,0.6092,0.40115,0.97124,0.927,0.89023,0.95721,0.79258,0.82154,0.47443,1.04019,7.98555e-05,7.98555e-05,7.98555e-05
51,1059.61,0.53688,0.35624,0.9185,0.93139,0.88385,0.95353,0.78428,0.82343,0.46575,1.04171,7.2975e-05,7.2975e-05,7.2975e-05
52,1078.58,0.52872,0.3474,0.91115,0.89511,0.91307,0.95954,0.77926,0.82286,0.46614,1.04192,6.60945e-05,6.60945e-05,6.60945e-05
53,1099.25,0.5024,0.33947,0.89793,0.88799,0.91377,0.96029,0.77795,0.81152,0.46392,1.0192,5.9214e-05,5.9214e-05,5.9214e-05
54,1122.82,0.51554,0.33961,0.9219,0.9518,0.88475,0.96082,0.77845,0.81777,0.46511,1.02519,5.23335e-05,5.23335e-05,5.23335e-05
55,1141.21,0.49,0.32756,0.91191,0.95927,0.88485,0.96082,0.79075,0.81615,0.45508,1.03166,4.5453e-05,4.5453e-05,4.5453e-05
56,1160.6,0.48992,0.31523,0.91043,0.92163,0.91624,0.96029,0.78988,0.80595,0.44309,1.03197,3.85725e-05,3.85725e-05,3.85725e-05
57,1179.27,0.46765,0.31057,0.90421,0.93777,0.90555,0.95927,0.78353,0.80314,0.44431,1.02537,3.1692e-05,3.1692e-05,3.1692e-05
58,1196.97,0.47881,0.31009,0.89217,0.92835,0.91891,0.95927,0.78313,0.80525,0.45065,1.02471,2.48115e-05,2.48115e-05,2.48115e-05
59,1217.69,0.46922,0.31268,0.90933,0.92639,0.92398,0.95927,0.79249,0.79991,0.44855,1.02099,1.7931e-05,1.7931e-05,1.7931e-05
60,1235.89,0.4643,0.31506,0.90811,0.93576,0.92119,0.95927,0.79495,0.79485,0.44559,1.01733,1.10505e-05,1.10505e-05,1.10505e-05
